time,value
2018-11-25 16:00:00,37
2018-11-25 18:00:00,37
2018-11-25 20:00:00,37
2018-11-25 22:00:00,37
2018-11-26 00:00:00,37
2018-11-26 02:00:00,38
2018-11-26 04:00:00,37
2018-11-26 06:00:00,37
2018-11-26 08:00:00,37
2018-11-26 10:00:00,38
2018-11-26 12:00:00,37
2018-11-26 14:00:00,38
2018-11-26 16:00:00,38
2018-11-26 18:00:00,37
2018-11-26 20:00:00,37
2018-11-26 22:00:00,37
2018-11-27 00:00:00,37
2018-11-27 02:00:00,38
2018-11-27 04:00:00,37
2018-11-27 06:00:00,37
2018-11-27 08:00:00,37
2018-11-27 10:00:00,39
2018-11-27 12:00:00,43
2018-11-27 14:00:00,42
2018-11-27 16:00:00,43
2018-11-27 18:00:00,43
2018-11-27 20:00:00,42
2018-11-27 22:00:00,42
2018-11-28 00:00:00,42
2018-11-28 02:00:00,43
2018-11-28 04:00:00,42
2018-11-28 06:00:00,42
2018-11-28 08:00:00,42
2018-11-28 10:00:00,43
2018-11-28 12:00:00,43
2018-11-28 14:00:00,43
2018-11-28 16:00:00,48
2018-11-28 18:00:00,44
2018-11-28 20:00:00,44
2018-11-28 22:00:00,44
2018-11-29 00:00:00,44
2018-11-29 02:00:00,44
2018-11-29 04:00:00,44
2018-11-29 06:00:00,44
2018-11-29 08:00:00,44
2018-11-29 10:00:00,43
2018-11-29 12:00:00,42
2018-11-29 14:00:00,43
2018-11-29 16:00:00,42
2018-11-29 18:00:00,43
2018-11-29 20:00:00,42
2018-11-29 22:00:00,42
2018-11-30 00:00:00,42
2018-11-30 02:00:00,42
2018-11-30 04:00:00,42
2018-11-30 06:00:00,42
2018-11-30 08:00:00,42
2018-11-30 10:00:00,43
2018-11-30 12:00:00,43
2018-11-30 14:00:00,43
2018-11-30 16:00:00,43
2018-11-30 18:00:00,44
2018-11-30 20:00:00,43
2018-11-30 22:00:00,43
2018-12-01 00:00:00,43
2018-12-01 02:00:00,42
2018-12-01 04:00:00,42
2018-12-01 06:00:00,43
2018-12-01 08:00:00,42
2018-12-01 10:00:00,42
2018-12-01 12:00:00,42
2018-12-01 14:00:00,42
2018-12-01 16:00:00,43
2018-12-01 18:00:00,42
2018-12-01 20:00:00,42
2018-12-01 22:00:00,42
2018-12-02 00:00:00,42
2018-12-02 02:00:00,42
2018-12-02 04:00:00,42
2018-12-02 06:00:00,42
2018-12-02 08:00:00,42
2018-12-02 10:00:00,42
2018-12-02 12:00:00,42
2018-12-02 14:00:00,42
2018-12-02 16:00:00,43
2018-12-02 18:00:00,42
2018-12-02 20:00:00,42
2018-12-02 22:00:00,42
2018-12-03 00:00:00,42
2018-12-03 02:00:00,42
2018-12-03 04:00:00,42
2018-12-03 06:00:00,42
2018-12-03 08:00:00,43
2018-12-03 10:00:00,44
2018-12-03 12:00:00,43
2018-12-03 14:00:00,47
2018-12-03 16:00:00,46
2018-12-03 18:00:00,46
2018-12-03 20:00:00,46
2018-12-03 22:00:00,46
2018-12-04 00:00:00,46
2018-12-04 02:00:00,47
2018-12-04 04:00:00,47
2018-12-04 06:00:00,46
2018-12-04 08:00:00,46
2018-12-04 10:00:00,47
2018-12-04 12:00:00,47
2018-12-04 14:00:00,47
2018-12-04 16:00:00,46
2018-12-04 18:00:00,46
2018-12-04 20:00:00,47
2018-12-04 22:00:00,47
2018-12-05 00:00:00,47
2018-12-05 02:00:00,47
2018-12-05 04:00:00,46
2018-12-05 06:00:00,46
2018-12-05 08:00:00,47
2018-12-05 10:00:00,47
2018-12-05 12:00:00,46
2018-12-05 14:00:00,46
2018-12-05 16:00:00,46
2018-12-05 18:00:00,46
2018-12-05 20:00:00,47
2018-12-05 22:00:00,46
2018-12-06 00:00:00,46
2018-12-06 02:00:00,47
2018-12-06 04:00:00,46
2018-12-06 06:00:00,46
2018-12-06 08:00:00,46
2018-12-06 10:00:00,46
2018-12-06 12:00:00,46
2018-12-06 14:00:00,46
2018-12-06 16:00:00,47
2018-12-06 18:00:00,46
2018-12-06 20:00:00,46
2018-12-06 22:00:00,46
2018-12-07 00:00:00,46
2018-12-07 02:00:00,47
2018-12-07 04:00:00,46
2018-12-07 06:00:00,47
2018-12-07 08:00:00,47
2018-12-07 10:00:00,46
2018-12-07 12:00:00,46
2018-12-07 14:00:00,46
2018-12-07 16:00:00,46
2018-12-07 18:00:00,46
2018-12-07 20:00:00,46
2018-12-07 22:00:00,46
2018-12-08 00:00:00,46
2018-12-08 02:00:00,47
2018-12-08 04:00:00,47
2018-12-08 06:00:00,46
2018-12-08 08:00:00,47
2018-12-08 10:00:00,46
2018-12-08 12:00:00,46
2018-12-08 14:00:00,47
2018-12-08 16:00:00,47
2018-12-08 18:00:00,46
2018-12-08 20:00:00,46
2018-12-08 22:00:00,46
2018-12-09 00:00:00,47
2018-12-09 02:00:00,47
2018-12-09 04:00:00,46
2018-12-09 06:00:00,46
2018-12-09 08:00:00,46
2018-12-09 10:00:00,46
2018-12-09 12:00:00,46
2018-12-09 14:00:00,46
2018-12-09 16:00:00,46
2018-12-09 18:00:00,46
2018-12-09 20:00:00,46
2018-12-09 22:00:00,46
2018-12-10 00:00:00,47
2018-12-10 02:00:00,47
2018-12-10 04:00:00,46
2018-12-10 06:00:00,46
2018-12-10 08:00:00,46
2018-12-10 10:00:00,46
2018-12-10 12:00:00,46
2018-12-10 14:00:00,46
2018-12-10 16:00:00,47
2018-12-10 18:00:00,47
2018-12-10 20:00:00,46
2018-12-10 22:00:00,46
2018-12-11 00:00:00,46
2018-12-11 02:00:00,46
2018-12-11 04:00:00,46
2018-12-11 06:00:00,46
2018-12-11 08:00:00,46
2018-12-11 10:00:00,46
2018-12-11 12:00:00,46
2018-12-11 14:00:00,46
2018-12-11 16:00:00,46
2018-12-11 18:00:00,46
2018-12-11 20:00:00,46
2018-12-11 22:00:00,46
2018-12-12 00:00:00,46
2018-12-12 02:00:00,46
2018-12-12 04:00:00,46
2018-12-12 06:00:00,46
2018-12-12 08:00:00,46
2018-12-12 10:00:00,46
2018-12-12 12:00:00,46
2018-12-12 14:00:00,46
2018-12-12 16:00:00,46
2018-12-12 18:00:00,46
2018-12-12 20:00:00,46
2018-12-12 22:00:00,46
2018-12-13 00:00:00,46
2018-12-13 02:00:00,47
2018-12-13 04:00:00,46
2018-12-13 06:00:00,46
2018-12-13 08:00:00,46
2018-12-13 10:00:00,46
2018-12-13 12:00:00,46
2018-12-13 14:00:00,46
2018-12-13 16:00:00,46
2018-12-13 18:00:00,46
2018-12-13 20:00:00,46
2018-12-13 22:00:00,46
2018-12-14 00:00:00,46
2018-12-14 02:00:00,47
2018-12-14 04:00:00,46
2018-12-14 06:00:00,46
2018-12-14 08:00:00,46
2018-12-14 10:00:00,46
2018-12-14 12:00:00,46
2018-12-14 14:00:00,46
2018-12-14 16:00:00,46
2018-12-14 18:00:00,47
2018-12-14 20:00:00,47
2018-12-14 22:00:00,47
2018-12-15 00:00:00,46
2018-12-15 02:00:00,47
2018-12-15 04:00:00,47
2018-12-15 06:00:00,46
2018-12-15 08:00:00,46
2018-12-15 10:00:00,46
2018-12-15 12:00:00,46
2018-12-15 14:00:00,46
2018-12-15 16:00:00,47
2018-12-15 18:00:00,46
2018-12-15 20:00:00,46
2018-12-15 22:00:00,46
2018-12-16 00:00:00,46
2018-12-16 02:00:00,47
2018-12-16 04:00:00,46
2018-12-16 06:00:00,46
2018-12-16 08:00:00,46
2018-12-16 10:00:00,46
2018-12-16 12:00:00,46
2018-12-16 14:00:00,46
2018-12-16 16:00:00,46
2018-12-16 18:00:00,46
2018-12-16 20:00:00,46
2018-12-16 22:00:00,47
